,bias_type,metric,used_threshold,FAIL,PASS
55,gender,BERT_similarity,0.2,0,1372
56,gender,BERT_similarity,0.3,0,1372
57,gender,BERT_similarity,0.4,0,1372
58,gender,BERT_similarity,0.5,0,1372
59,gender,BERT_similarity,0.6,0,1372
60,gender,BERT_similarity,0.7,0,1372
61,gender,BERT_similarity,0.8,10,1362
62,gender,BERT_similarity,0.9,171,1201
63,gender,LDA_similarity,0.1,7,1365
64,gender,LDA_similarity,0.2,26,1346
65,gender,LDA_similarity,0.3,57,1315
66,gender,LDA_similarity,0.4,105,1267
67,gender,LDA_similarity,0.5,184,1188
68,gender,LDA_similarity,0.6,284,1088
69,gender,LDA_similarity,0.7,437,935
70,gender,LDA_similarity,0.8,673,699
71,gender,LDA_similarity,0.9,970,402
72,gender,LSA_similarity,0.1,0,1372
73,gender,LSA_similarity,0.2,1,1371
74,gender,LSA_similarity,0.3,14,1358
75,gender,LSA_similarity,0.4,55,1317
76,gender,LSA_similarity,0.5,146,1226
77,gender,LSA_similarity,0.6,325,1047
78,gender,LSA_similarity,0.7,577,795
79,gender,LSA_similarity,0.8,942,430
80,gender,LSA_similarity,0.9,1259,113
81,nationality,BERT_similarity,0.1,0,1280
82,nationality,BERT_similarity,0.2,0,1280
83,nationality,BERT_similarity,0.3,0,1280
84,nationality,BERT_similarity,0.4,0,1280
85,nationality,BERT_similarity,0.5,0,1280
86,nationality,BERT_similarity,0.6,0,1280
87,nationality,BERT_similarity,0.7,0,1280
88,nationality,BERT_similarity,0.8,11,1269
89,nationality,BERT_similarity,0.9,249,1031
90,nationality,LDA_similarity,0.1,5,1275
91,nationality,LDA_similarity,0.2,22,1258
92,nationality,LDA_similarity,0.3,51,1229
93,nationality,LDA_similarity,0.4,94,1186
94,nationality,LDA_similarity,0.5,157,1123
95,nationality,LDA_similarity,0.6,258,1022
96,nationality,LDA_similarity,0.7,374,906
97,nationality,LDA_similarity,0.8,555,725
98,nationality,LDA_similarity,0.9,836,444
99,nationality,LSA_similarity,0.1,0,1280
100,nationality,LSA_similarity,0.2,0,1280
101,nationality,LSA_similarity,0.3,0,1280
102,nationality,LSA_similarity,0.4,6,1274
103,nationality,LSA_similarity,0.5,34,1246
104,nationality,LSA_similarity,0.6,109,1171
105,nationality,LSA_similarity,0.7,261,1019
106,nationality,LSA_similarity,0.8,531,749
107,nationality,LSA_similarity,0.9,992,288
108,physical-appearance,BERT_similarity,0.1,0,1020
109,physical-appearance,BERT_similarity,0.2,0,1020
110,physical-appearance,BERT_similarity,0.3,0,1020
111,physical-appearance,BERT_similarity,0.4,0,1020
112,physical-appearance,BERT_similarity,0.5,0,1020
113,physical-appearance,BERT_similarity,0.6,0,1020
114,physical-appearance,BERT_similarity,0.7,1,1019
115,physical-appearance,BERT_similarity,0.8,2,1018
116,physical-appearance,BERT_similarity,0.9,90,930
117,physical-appearance,LDA_similarity,0.1,6,1014
118,physical-appearance,LDA_similarity,0.2,19,1001
119,physical-appearance,LDA_similarity,0.3,38,982
120,physical-appearance,LDA_similarity,0.4,67,953
121,physical-appearance,LDA_similarity,0.5,103,917
122,physical-appearance,LDA_similarity,0.6,171,849
123,physical-appearance,LDA_similarity,0.7,253,767
124,physical-appearance,LDA_similarity,0.8,367,653
125,physical-appearance,LDA_similarity,0.9,600,420
126,physical-appearance,LSA_similarity,0.1,0,1020
127,physical-appearance,LSA_similarity,0.2,0,1020
128,physical-appearance,LSA_similarity,0.3,1,1019
129,physical-appearance,LSA_similarity,0.4,9,1011
130,physical-appearance,LSA_similarity,0.5,32,988
131,physical-appearance,LSA_similarity,0.6,86,934
132,physical-appearance,LSA_similarity,0.7,193,827
133,physical-appearance,LSA_similarity,0.8,468,552
134,physical-appearance,LSA_similarity,0.9,858,162
135,race-color,BERT_similarity,0.1,0,1448
136,race-color,BERT_similarity,0.2,0,1448
137,race-color,BERT_similarity,0.3,0,1448
138,race-color,BERT_similarity,0.4,0,1448
139,race-color,BERT_similarity,0.5,0,1448
140,race-color,BERT_similarity,0.6,0,1448
141,race-color,BERT_similarity,0.7,1,1447
142,race-color,BERT_similarity,0.8,12,1436
143,race-color,BERT_similarity,0.9,229,1219
144,race-color,LDA_similarity,0.1,20,1428
145,race-color,LDA_similarity,0.2,45,1403
146,race-color,LDA_similarity,0.3,88,1360
147,race-color,LDA_similarity,0.4,154,1294
148,race-color,LDA_similarity,0.5,255,1193
149,race-color,LDA_similarity,0.6,376,1072
150,race-color,LDA_similarity,0.7,558,890
151,race-color,LDA_similarity,0.8,763,685
152,race-color,LDA_similarity,0.9,1055,393
153,race-color,LSA_similarity,0.1,0,1448
154,race-color,LSA_similarity,0.2,0,1448
155,race-color,LSA_similarity,0.3,2,1446
156,race-color,LSA_similarity,0.4,19,1429
157,race-color,LSA_similarity,0.5,67,1381
158,race-color,LSA_similarity,0.6,198,1250
159,race-color,LSA_similarity,0.7,480,968
160,race-color,LSA_similarity,0.8,894,554
161,race-color,LSA_similarity,0.9,1281,167
162,religion,BERT_similarity,0.1,0,1182
163,religion,BERT_similarity,0.2,0,1182
164,religion,BERT_similarity,0.3,0,1182
165,religion,BERT_similarity,0.4,0,1182
166,religion,BERT_similarity,0.5,0,1182
167,religion,BERT_similarity,0.6,0,1182
168,religion,BERT_similarity,0.7,0,1182
169,religion,BERT_similarity,0.8,1,1181
170,religion,BERT_similarity,0.9,227,955
171,religion,LDA_similarity,0.1,12,1170
172,religion,LDA_similarity,0.2,35,1147
173,religion,LDA_similarity,0.3,61,1121
174,religion,LDA_similarity,0.4,105,1077
175,religion,LDA_similarity,0.5,165,1017
176,religion,LDA_similarity,0.6,237,945
177,religion,LDA_similarity,0.7,335,847
178,religion,LDA_similarity,0.8,494,688
179,religion,LDA_similarity,0.9,728,454
180,religion,LSA_similarity,0.1,0,1182
181,religion,LSA_similarity,0.2,1,1181
182,religion,LSA_similarity,0.3,4,1178
183,religion,LSA_similarity,0.4,29,1153
184,religion,LSA_similarity,0.5,132,1050
185,religion,LSA_similarity,0.6,298,884
186,religion,LSA_similarity,0.7,575,607
187,religion,LSA_similarity,0.8,890,292
188,religion,LSA_similarity,0.9,1115,67
189,sexual-orientation,BERT_similarity,0.1,0,1116
190,sexual-orientation,BERT_similarity,0.2,0,1116
191,sexual-orientation,BERT_similarity,0.3,0,1116
192,sexual-orientation,BERT_similarity,0.4,0,1116
193,sexual-orientation,BERT_similarity,0.5,0,1116
194,sexual-orientation,BERT_similarity,0.6,0,1116
195,sexual-orientation,BERT_similarity,0.7,0,1116
196,sexual-orientation,BERT_similarity,0.8,1,1115
197,sexual-orientation,BERT_similarity,0.9,99,1017
198,sexual-orientation,LDA_similarity,0.1,9,1107
199,sexual-orientation,LDA_similarity,0.2,20,1096
200,sexual-orientation,LDA_similarity,0.3,60,1056
201,sexual-orientation,LDA_similarity,0.4,108,1008
202,sexual-orientation,LDA_similarity,0.5,165,951
203,sexual-orientation,LDA_similarity,0.6,270,846
204,sexual-orientation,LDA_similarity,0.7,404,712
205,sexual-orientation,LDA_similarity,0.8,584,532
206,sexual-orientation,LDA_similarity,0.9,837,279
207,sexual-orientation,LSA_similarity,0.1,0,1116
208,sexual-orientation,LSA_similarity,0.2,0,1116
209,sexual-orientation,LSA_similarity,0.3,0,1116
210,sexual-orientation,LSA_similarity,0.4,6,1110
211,sexual-orientation,LSA_similarity,0.5,38,1078
212,sexual-orientation,LSA_similarity,0.6,135,981
213,sexual-orientation,LSA_similarity,0.7,370,746
214,sexual-orientation,LSA_similarity,0.8,699,417
215,sexual-orientation,LSA_similarity,0.9,1010,106
216,socioeconomic,BERT_similarity,0.1,0,1300
217,socioeconomic,BERT_similarity,0.2,0,1300
218,socioeconomic,BERT_similarity,0.3,0,1300
219,socioeconomic,BERT_similarity,0.4,0,1300
220,socioeconomic,BERT_similarity,0.5,0,1300
221,socioeconomic,BERT_similarity,0.6,0,1300
222,socioeconomic,BERT_similarity,0.7,0,1300
223,socioeconomic,BERT_similarity,0.8,4,1296
224,socioeconomic,BERT_similarity,0.9,221,1079
225,socioeconomic,LDA_similarity,0.1,24,1276
226,socioeconomic,LDA_similarity,0.2,51,1249
227,socioeconomic,LDA_similarity,0.3,102,1198
228,socioeconomic,LDA_similarity,0.4,171,1129
229,socioeconomic,LDA_similarity,0.5,281,1019
230,socioeconomic,LDA_similarity,0.6,406,894
231,socioeconomic,LDA_similarity,0.7,558,742
232,socioeconomic,LDA_similarity,0.8,770,530
233,socioeconomic,LDA_similarity,0.9,1019,281
234,socioeconomic,LSA_similarity,0.1,0,1300
235,socioeconomic,LSA_similarity,0.2,0,1300
236,socioeconomic,LSA_similarity,0.3,3,1297
237,socioeconomic,LSA_similarity,0.4,13,1287
238,socioeconomic,LSA_similarity,0.5,50,1250
239,socioeconomic,LSA_similarity,0.6,207,1093
240,socioeconomic,LSA_similarity,0.7,456,844
241,socioeconomic,LSA_similarity,0.8,836,464
242,socioeconomic,LSA_similarity,0.9,1156,144
