,bias_type,metric,used_threshold,FAIL,PASS
55,gender,BERT_similarity,0.2,0,1372
56,gender,BERT_similarity,0.3,0,1372
57,gender,BERT_similarity,0.4,0,1372
58,gender,BERT_similarity,0.5,2,1370
59,gender,BERT_similarity,0.6,3,1369
60,gender,BERT_similarity,0.7,12,1360
61,gender,BERT_similarity,0.8,48,1324
62,gender,BERT_similarity,0.9,350,1022
63,gender,LDA_similarity,0.1,46,1326
64,gender,LDA_similarity,0.2,86,1286
65,gender,LDA_similarity,0.3,153,1219
66,gender,LDA_similarity,0.4,234,1138
67,gender,LDA_similarity,0.5,342,1030
68,gender,LDA_similarity,0.6,466,906
69,gender,LDA_similarity,0.7,620,752
70,gender,LDA_similarity,0.8,821,551
71,gender,LDA_similarity,0.9,1084,288
72,gender,LSA_similarity,0.1,2,1370
73,gender,LSA_similarity,0.2,17,1355
74,gender,LSA_similarity,0.3,62,1310
75,gender,LSA_similarity,0.4,164,1208
76,gender,LSA_similarity,0.5,319,1053
77,gender,LSA_similarity,0.6,553,819
78,gender,LSA_similarity,0.7,847,525
79,gender,LSA_similarity,0.8,1108,264
80,gender,LSA_similarity,0.9,1308,64
81,nationality,BERT_similarity,0.1,0,1280
82,nationality,BERT_similarity,0.2,0,1280
83,nationality,BERT_similarity,0.3,0,1280
84,nationality,BERT_similarity,0.4,0,1280
85,nationality,BERT_similarity,0.5,0,1280
86,nationality,BERT_similarity,0.6,0,1280
87,nationality,BERT_similarity,0.7,5,1275
88,nationality,BERT_similarity,0.8,42,1238
89,nationality,BERT_similarity,0.9,379,901
90,nationality,LDA_similarity,0.1,36,1244
91,nationality,LDA_similarity,0.2,76,1204
92,nationality,LDA_similarity,0.3,125,1155
93,nationality,LDA_similarity,0.4,197,1083
94,nationality,LDA_similarity,0.5,274,1006
95,nationality,LDA_similarity,0.6,371,909
96,nationality,LDA_similarity,0.7,506,774
97,nationality,LDA_similarity,0.8,691,589
98,nationality,LDA_similarity,0.9,964,316
99,nationality,LSA_similarity,0.1,1,1279
100,nationality,LSA_similarity,0.2,4,1276
101,nationality,LSA_similarity,0.3,14,1266
102,nationality,LSA_similarity,0.4,45,1235
103,nationality,LSA_similarity,0.5,96,1184
104,nationality,LSA_similarity,0.6,221,1059
105,nationality,LSA_similarity,0.7,381,899
106,nationality,LSA_similarity,0.8,690,590
107,nationality,LSA_similarity,0.9,1095,185
108,physical-appearance,BERT_similarity,0.1,0,1020
109,physical-appearance,BERT_similarity,0.2,0,1020
110,physical-appearance,BERT_similarity,0.3,0,1020
111,physical-appearance,BERT_similarity,0.4,0,1020
112,physical-appearance,BERT_similarity,0.5,1,1019
113,physical-appearance,BERT_similarity,0.6,1,1019
114,physical-appearance,BERT_similarity,0.7,1,1019
115,physical-appearance,BERT_similarity,0.8,17,1003
116,physical-appearance,BERT_similarity,0.9,214,806
117,physical-appearance,LDA_similarity,0.1,30,990
118,physical-appearance,LDA_similarity,0.2,60,960
119,physical-appearance,LDA_similarity,0.3,103,917
120,physical-appearance,LDA_similarity,0.4,160,860
121,physical-appearance,LDA_similarity,0.5,227,793
122,physical-appearance,LDA_similarity,0.6,293,727
123,physical-appearance,LDA_similarity,0.7,391,629
124,physical-appearance,LDA_similarity,0.8,526,494
125,physical-appearance,LDA_similarity,0.9,726,294
126,physical-appearance,LSA_similarity,0.1,0,1020
127,physical-appearance,LSA_similarity,0.2,2,1018
128,physical-appearance,LSA_similarity,0.3,10,1010
129,physical-appearance,LSA_similarity,0.4,29,991
130,physical-appearance,LSA_similarity,0.5,101,919
131,physical-appearance,LSA_similarity,0.6,223,797
132,physical-appearance,LSA_similarity,0.7,395,625
133,physical-appearance,LSA_similarity,0.8,632,388
134,physical-appearance,LSA_similarity,0.9,920,100
135,race-color,BERT_similarity,0.1,0,1447
136,race-color,BERT_similarity,0.2,0,1447
137,race-color,BERT_similarity,0.3,0,1447
138,race-color,BERT_similarity,0.4,0,1447
139,race-color,BERT_similarity,0.5,1,1446
140,race-color,BERT_similarity,0.6,1,1446
141,race-color,BERT_similarity,0.7,7,1440
142,race-color,BERT_similarity,0.8,26,1421
143,race-color,BERT_similarity,0.9,333,1114
144,race-color,LDA_similarity,0.1,55,1392
145,race-color,LDA_similarity,0.2,100,1347
146,race-color,LDA_similarity,0.3,162,1285
147,race-color,LDA_similarity,0.4,248,1199
148,race-color,LDA_similarity,0.5,336,1111
149,race-color,LDA_similarity,0.6,475,972
150,race-color,LDA_similarity,0.7,637,810
151,race-color,LDA_similarity,0.8,818,629
152,race-color,LDA_similarity,0.9,1080,367
153,race-color,LSA_similarity,0.1,2,1445
154,race-color,LSA_similarity,0.2,4,1443
155,race-color,LSA_similarity,0.3,23,1424
156,race-color,LSA_similarity,0.4,93,1354
157,race-color,LSA_similarity,0.5,239,1208
158,race-color,LSA_similarity,0.6,477,970
159,race-color,LSA_similarity,0.7,755,692
160,race-color,LSA_similarity,0.8,1045,402
161,race-color,LSA_similarity,0.9,1326,121
162,religion,BERT_similarity,0.1,0,1182
163,religion,BERT_similarity,0.2,0,1182
164,religion,BERT_similarity,0.3,0,1182
165,religion,BERT_similarity,0.4,0,1182
166,religion,BERT_similarity,0.5,0,1182
167,religion,BERT_similarity,0.6,0,1182
168,religion,BERT_similarity,0.7,0,1182
169,religion,BERT_similarity,0.8,14,1168
170,religion,BERT_similarity,0.9,287,895
171,religion,LDA_similarity,0.1,46,1136
172,religion,LDA_similarity,0.2,88,1094
173,religion,LDA_similarity,0.3,148,1034
174,religion,LDA_similarity,0.4,199,983
175,religion,LDA_similarity,0.5,262,920
176,religion,LDA_similarity,0.6,345,837
177,religion,LDA_similarity,0.7,471,711
178,religion,LDA_similarity,0.8,626,556
179,religion,LDA_similarity,0.9,854,328
180,religion,LSA_similarity,0.1,0,1182
181,religion,LSA_similarity,0.2,5,1177
182,religion,LSA_similarity,0.3,15,1167
183,religion,LSA_similarity,0.4,69,1113
184,religion,LSA_similarity,0.5,207,975
185,religion,LSA_similarity,0.6,425,757
186,religion,LSA_similarity,0.7,716,466
187,religion,LSA_similarity,0.8,953,229
188,religion,LSA_similarity,0.9,1146,36
189,sexual-orientation,BERT_similarity,0.1,0,1116
190,sexual-orientation,BERT_similarity,0.2,0,1116
191,sexual-orientation,BERT_similarity,0.3,0,1116
192,sexual-orientation,BERT_similarity,0.4,1,1115
193,sexual-orientation,BERT_similarity,0.5,1,1115
194,sexual-orientation,BERT_similarity,0.6,1,1115
195,sexual-orientation,BERT_similarity,0.7,5,1111
196,sexual-orientation,BERT_similarity,0.8,23,1093
197,sexual-orientation,BERT_similarity,0.9,170,946
198,sexual-orientation,LDA_similarity,0.1,32,1084
199,sexual-orientation,LDA_similarity,0.2,59,1057
200,sexual-orientation,LDA_similarity,0.3,100,1016
201,sexual-orientation,LDA_similarity,0.4,153,963
202,sexual-orientation,LDA_similarity,0.5,220,896
203,sexual-orientation,LDA_similarity,0.6,320,796
204,sexual-orientation,LDA_similarity,0.7,429,687
205,sexual-orientation,LDA_similarity,0.8,544,572
206,sexual-orientation,LDA_similarity,0.9,753,363
207,sexual-orientation,LSA_similarity,0.1,1,1115
208,sexual-orientation,LSA_similarity,0.2,9,1107
209,sexual-orientation,LSA_similarity,0.3,26,1090
210,sexual-orientation,LSA_similarity,0.4,69,1047
211,sexual-orientation,LSA_similarity,0.5,173,943
212,sexual-orientation,LSA_similarity,0.6,353,763
213,sexual-orientation,LSA_similarity,0.7,608,508
214,sexual-orientation,LSA_similarity,0.8,848,268
215,sexual-orientation,LSA_similarity,0.9,1049,67
216,socioeconomic,BERT_similarity,0.1,0,1300
217,socioeconomic,BERT_similarity,0.2,0,1300
218,socioeconomic,BERT_similarity,0.3,0,1300
219,socioeconomic,BERT_similarity,0.4,0,1300
220,socioeconomic,BERT_similarity,0.5,0,1300
221,socioeconomic,BERT_similarity,0.6,0,1300
222,socioeconomic,BERT_similarity,0.7,5,1295
223,socioeconomic,BERT_similarity,0.8,23,1277
224,socioeconomic,BERT_similarity,0.9,371,929
225,socioeconomic,LDA_similarity,0.1,49,1251
226,socioeconomic,LDA_similarity,0.2,122,1178
227,socioeconomic,LDA_similarity,0.3,196,1104
228,socioeconomic,LDA_similarity,0.4,297,1003
229,socioeconomic,LDA_similarity,0.5,420,880
230,socioeconomic,LDA_similarity,0.6,559,741
231,socioeconomic,LDA_similarity,0.7,705,595
232,socioeconomic,LDA_similarity,0.8,889,411
233,socioeconomic,LDA_similarity,0.9,1088,212
234,socioeconomic,LSA_similarity,0.1,0,1300
235,socioeconomic,LSA_similarity,0.2,2,1298
236,socioeconomic,LSA_similarity,0.3,14,1286
237,socioeconomic,LSA_similarity,0.4,63,1237
238,socioeconomic,LSA_similarity,0.5,169,1131
239,socioeconomic,LSA_similarity,0.6,390,910
240,socioeconomic,LSA_similarity,0.7,655,645
241,socioeconomic,LSA_similarity,0.8,947,353
242,socioeconomic,LSA_similarity,0.9,1210,90
